Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,Season,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSH,PSD,PSA,PSCH,PSCD,PSCA,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Over25Odds,home_form_form_pts,home_form_form_wins,home_form_form_goals_scored,home_form_form_goals_conceded,home_form_form_goal_diff,home_form_form_corners,home_form_form_shots,home_form_form_shots_on_target,away_form_form_pts,away_form_form_wins,away_form_form_goals_scored,away_form_form_goals_conceded,away_form_form_goal_diff,away_form_form_corners,away_form_form_shots,away_form_form_shots_on_target,home_avg_goals_for,home_avg_goals_against,home_avg_corners_for,home_avg_corners_against,home_avg_shots_for,home_avg_shots_against,away_avg_goals_for,away_avg_goals_against,away_avg_corners_for,away_avg_corners_against,away_avg_shots_for,away_avg_shots_against,is_home_favorite,is_high_total_goals,odds_margin,expected_goals_prob,importance_score,is_derby,h2h_avg_corners,h2h_avg_goals,h2h_total_matches,team_avg_total_corners,is_high_corners_match,low_form_total_corners,low_attack_symmetry,low_conceding_pair,is_low_total_goals,has_odds,total_corners
E0,2011-12-10,Man United,Wolves,4,1,H,2,0,H,,M Oliver,22,11,18,8,,,8,2,7,8,,,1,0,0,0,2011-12,1.22,6.0,15.0,1.22,5.75,13.0,1.22,6.0,12.0,1.22,5.4,12.0,1.22,6.0,13.0,1.2,6.0,15.0,1.2,6.0,11.0,1.2,6.5,15.0,1.25,6.5,15.0,1.22,6.0,13.0,47.0,1.25,1.22,6.7,5.91,16.0,13.86,33.0,1.61,1.53,2.5,2.4,28.0,-1.75,2.02,1.96,1.95,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,4,1,5,1,4,25,69,40,15,5,7,10,-3,20,48,27,2.736842105263158,1.0,8.894736842105264,3.421052631578948,19.473684210526315,11.894736842105264,2.0526315789473686,1.105263157894737,6.894736842105263,4.421052631578948,16.263157894736842,9.210526315789474,1,1,13.78,0.6535947712418301,16.28,0,9.6,2.2,5,22.5,0,0,0,0,0,True,10
E0,2017-02-11,Liverpool,Tottenham,2,0,H,2,0,H,,A Taylor,17,7,9,2,,,10,3,14,14,,,3,4,0,0,2016-17,2.3,3.4,3.4,2.25,3.4,3.25,,,,2.2,3.35,3.3,2.15,3.25,3.4,,,,2.3,3.2,3.4,,,,2.25,3.4,3.5,,,,43.0,2.35,2.24,3.45,3.34,3.61,3.41,41.0,1.96,1.91,1.99,1.91,24.0,-0.25,1.99,1.9,2.03,1.97,2.22,3.41,3.61,2.22,3.47,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,6,1,6,9,-3,36,79,32,11,3,9,2,7,36,67,23,2.3684210526315788,0.9473684210526316,6.105263157894737,3.210526315789474,17.42105263157895,7.421052631578948,0.8947368421052632,2.0526315789473686,4.2105263157894735,6.578947368421052,10.421052631578949,15.578947368421051,1,1,1.1,0.5235602094240838,3.6,0,13.4,2.4,5,36.0,1,0,0,0,0,True,13
E0,2013-12-04,Sunderland,Chelsea,3,4,A,1,2,A,,P Dowd,12,19,3,5,,,6,5,15,14,,,4,3,0,0,2013-14,6.5,4.33,1.55,6.0,4.2,1.5,,,,6.1,4.0,1.5,6.0,4.0,1.53,,,,6.5,3.8,1.53,6.5,4.0,1.53,6.5,4.3,1.57,,,,38.0,6.76,6.24,4.38,4.1,1.57,1.53,36.0,1.96,1.81,2.05,1.97,22.0,1.0,2.0,1.91,2.02,1.94,6.76,4.21,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,13,4,3,4,-1,20,40,11,10,3,10,6,4,32,78,28,1.105263157894737,1.4210526315789471,5.631578947368421,5.052631578947368,15.263157894736842,14.789473684210526,0.8421052631578947,1.4736842105263157,5.473684210526316,6.2105263157894735,12.473684210526317,16.789473684210527,0,1,-4.95,0.5524861878453039,6.45,0,10.4,3.4,5,26.0,0,0,0,0,0,True,11
E0,2010-11-10,West Ham,West Brom,2,2,D,1,1,D,,M Dean,8,14,5,6,,,6,7,13,5,,,3,0,0,0,2010-11,2.3,3.25,3.2,2.25,3.25,3.05,2.3,3.25,3.0,2.2,3.2,3.0,2.38,3.25,3.0,2.25,3.2,2.9,2.38,3.3,2.9,2.3,3.4,3.2,2.3,3.4,3.25,2.3,3.25,3.0,36.0,2.38,2.29,3.44,3.27,3.47,3.1,34.0,1.99,1.93,1.94,1.84,25.0,0.0,1.67,1.61,2.4,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,6,1,5,7,-2,15,48,24,8,2,6,8,-2,24,63,30,1.263157894736842,1.631578947368421,5.105263157894737,6.684210526315789,13.578947368421051,14.052631578947368,2.1578947368421053,1.368421052631579,6.684210526315789,4.526315789473684,13.31578947368421,12.421052631578949,1,1,0.9000000000000004,0.5181347150259068,3.4000000000000004,0,12.4,2.0,5,19.5,1,0,0,0,0,True,13
E0,2014-10-05,Man United,Everton,2,1,H,1,0,H,,K Friend,15,10,4,6,,,11,6,18,11,,,4,3,0,0,2014-15,1.67,4.2,5.25,1.67,4.0,5.25,,,,1.7,3.6,4.7,1.66,4.0,5.25,,,,1.67,3.6,5.5,,,,1.67,4.2,5.4,,,,44.0,1.7,1.65,4.3,3.9,5.8,5.26,35.0,1.63,1.57,2.48,2.36,26.0,-1.0,2.13,2.07,1.86,1.79,1.66,4.19,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,11,3,10,7,3,24,60,22,2,0,10,12,-2,21,64,24,2.1578947368421053,0.7894736842105263,5.7368421052631575,4.0,14.842105263157896,7.842105263157895,1.5263157894736843,1.105263157894737,6.105263157894737,4.684210526315789,14.0,11.31578947368421,1,1,3.58,0.6369426751592356,6.08,0,11.2,2.8,5,22.5,1,0,0,1,0,True,17
E0,2014-02-22,West Brom,Fulham,1,1,D,0,1,A,,M Dean,16,7,5,3,,,8,2,13,15,,,3,3,0,0,2013-14,1.8,3.9,4.75,1.72,3.8,4.5,,,,1.8,3.5,4.2,1.8,3.6,4.33,,,,1.8,3.5,4.5,1.73,3.8,4.5,1.83,3.8,4.6,,,,44.0,1.83,1.77,3.95,3.68,5.01,4.65,42.0,1.9,1.79,2.1,2.0,21.0,-0.5,1.83,1.75,2.21,2.13,1.77,3.9,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,9,2,7,10,-3,22,66,21,7,2,4,12,-8,24,47,16,1.263157894736842,1.4210526315789471,5.421052631578948,3.789473684210526,13.526315789473683,11.63157894736842,2.473684210526316,0.8421052631578947,7.421052631578948,3.631578947368421,20.36842105263158,8.68421052631579,1,1,2.95,0.5586592178770949,5.45,0,10.0,2.0,5,23.0,0,0,0,0,0,True,10
E0,2014-10-19,Stoke,Swansea,2,1,H,1,1,D,,M Oliver,17,13,3,5,,,3,5,17,7,,,4,1,0,0,2014-15,2.5,3.3,3.1,2.5,3.25,3.0,,,,2.4,3.2,2.85,2.37,3.3,3.1,,,,2.5,3.0,3.0,,,,2.55,3.3,3.0,,,,46.0,2.55,2.46,3.35,3.24,3.15,2.99,44.0,2.22,2.13,1.77,1.7,24.0,-0.25,2.17,2.12,1.8,1.77,2.55,3.31,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,7,2,5,6,-1,24,62,18,8,2,7,7,0,10,49,18,1.6842105263157894,1.1578947368421053,5.894736842105263,5.315789473684211,16.210526315789473,11.052631578947368,1.4210526315789471,1.0,6.368421052631579,3.5789473684210527,17.0,9.947368421052632,1,0,0.6000000000000001,0.4694835680751174,1.6,0,12.6,3.2,5,17.0,0,0,0,0,0,True,8
E0,2017-01-02,Man City,Burnley,2,1,H,0,0,D,,L Mason,14,11,3,3,,,8,8,11,11,,,4,3,1,0,2016-17,1.17,8.5,19.0,1.17,8.0,15.0,,,,1.15,7.5,18.0,1.17,7.5,19.0,,,,1.18,7.0,15.0,,,,1.15,8.0,17.0,,,,52.0,1.2,1.16,9.15,8.07,21.79,17.76,37.0,1.46,1.42,3.0,2.83,27.0,-2.0,1.77,1.71,2.25,2.18,1.18,8.55,17.5,1.19,7.75,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,12,4,9,6,3,37,71,24,15,5,9,6,3,20,51,21,1.947368421052632,0.8947368421052632,7.947368421052632,3.3684210526315788,17.68421052631579,6.526315789473684,1.8421052631578947,0.6842105263157895,7.842105263157895,3.684210526315789,19.63157894736842,9.473684210526317,1,1,17.83,0.7042253521126761,20.33,0,11.6,4.2,5,28.5,1,0,0,1,0,True,16
E0,2012-11-03,Fulham,Everton,2,2,D,1,0,H,,N Swarbrick,8,26,5,15,,,5,9,16,9,,,3,1,0,0,2012-13,2.75,3.4,2.5,2.65,3.25,2.6,2.65,3.25,2.6,2.5,3.3,2.65,2.62,3.3,2.6,,,,2.62,3.4,2.6,2.75,3.4,2.5,2.75,3.4,2.62,2.62,3.25,2.62,36.0,2.82,2.68,3.5,3.33,2.7,2.6,33.0,1.83,1.78,2.19,2.04,21.0,0.0,2.02,1.97,1.94,1.89,2.82,3.5,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,5,1,9,8,1,31,66,33,6,1,11,6,5,32,90,51,1.4736842105263157,1.5789473684210529,5.0,5.2105263157894735,13.526315789473683,13.36842105263158,1.2105263157894737,1.1578947368421053,5.631578947368421,5.842105263157895,12.263157894736842,13.526315789473683,0,1,-0.25,0.5617977528089888,1.75,0,9.4,2.8,5,31.5,1,0,0,0,0,True,14
E0,2009-12-12,Man United,Aston Villa,0,1,A,0,1,A,,M Atkinson,16,8,9,5,,,9,4,4,14,,,1,1,0,0,2009-10,1.5,4.2,7.0,1.42,4.25,7.0,1.44,4.0,7.5,1.4,4.3,7.5,1.44,4.0,8.0,1.44,4.0,6.25,1.5,4.0,7.0,1.44,4.33,7.0,1.44,4.0,7.5,1.4,4.33,7.5,39.0,1.51,1.47,4.42,4.09,8.0,7.1,36.0,1.83,1.76,2.13,1.99,27.0,0.0,1.17,1.13,6.0,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,9,3,13,2,11,43,89,51,11,3,11,5,6,46,67,39,2.736842105263158,0.631578947368421,8.789473684210526,2.8947368421052637,18.05263157894737,8.0,1.2105263157894737,1.2105263157894737,8.052631578947368,5.421052631578948,14.68421052631579,10.68421052631579,1,1,5.5,0.5681818181818182,8.0,0,11.2,3.6,5,44.5,1,0,0,1,0,True,13
